code,2024-08-21,2024-08-22,2024-08-23,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-18,2024-09-19,2024-09-20,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-30,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-14,2024-10-15,2024-10-16,2024-10-17,2024-10-18,2024-10-21,2024-10-22,2024-10-23,2024-10-24,2024-10-25,2024-10-28,2024-10-29,2024-10-30
sh.600309,35.043352601156045,35.144927536231876,43.18181818181819,40.754437869822475,34.34022257551668,13.589211618257181,26.263627353815536,41.70984455958546,40.82840236686387,52.714708785784794,51.59420289855072,50.445103857566785,49.95102840352593,52.74043433298864,47.95204795204796,53.574744661095636,50.83579154375615,55.602094240837744,64.34316353887407,71.9398711524696,69.10953506698193,62.58309591642931,84.7602739726028,75.6647864625303,83.9782756279702,87.79099844800834,91.37380191693296,93.01727306137452,71.41647855530474,71.09018264840184,64.66302367941711,64.41605839416059,58.55786502437773,54.399346227186065,51.064375480892544,53.15802408454165,48.97086340550655,51.58665581773799,47.98951048951047,37.2978116079924,23.785659213569787,22.134698700275678,29.14937759336098,25.804803270311666
sh.600406,43.49593495934959,54.18181818181813,50.70422535211273,50.88339222614836,41.071428571428584,43.39622641509439,53.846153846153854,64.15584415584414,62.499999999999964,75.8441558441558,73.94957983193271,71.35135135135138,68.98395721925132,75.00000000000006,74.70930232558143,74.41176470588239,77.87878787878788,83.63095238095245,91.29129129129132,82.83378746594008,80.55555555555556,70.56451612903231,69.95884773662559,71.81467181467185,61.279461279461344,65.85365853658541,79.6296296296297,80.53097345132748,68.83365200764821,65.98360655737712,59.88700564971751,59.81132075471699,48.918469217970056,52.456140350877185,50.16949152542376,55.625,51.46627565982404,51.60818713450295,53.97553516819573,52.74390243902439,36.80154142581884,41.74067495559501,51.90114068441068,48.148148148148145
sh.600436,37.21222268731688,38.352027610008605,38.298791018998294,34.93877551020408,35.845896147403664,32.92469352014011,40.74239713774601,51.20065120065121,42.27150537634406,46.326319420489845,36.230248306997815,43.12106918238997,44.83040457703313,45.077298616761645,45.65306963329213,51.53664302600473,42.70791482523101,42.31687898089173,35.40972684876755,40.24653312788906,44.05654933641085,34.28239395700179,52.48207391064535,58.381642512077285,70.88235294117646,74.72474868358066,83.09310018903592,85.52205584783488,67.92831886853102,68.33544906378927,63.54112873478422,63.880442038122084,63.630319148936174,60.76219961668879,58.19702464658427,61.76491706756659,62.89198606271778,59.82250621228256,55.42690611216131,50.679789807323374,39.44700460829492,31.554578076166223,42.514036182158456,38.26621381206534
sh.600438,59.953703703703695,54.07098121085592,50.56179775280901,42.039800995024926,36.70886075949368,38.1818181818182,51.83486238532105,53.744493392070474,46.564885496183216,51.134380453752165,43.99999999999999,52.0879120879121,51.9736842105263,53.986332574031906,49.33628318584072,58.89145496535799,56.52173913043478,54.52538631346578,53.118279569892465,55.327868852459005,39.46280991735539,34.32539682539681,49.69939879759518,42.431192660550465,52.281368821292794,60.84243369734789,72.62773722627736,78.17047817047816,63.782866836301956,60.6060606060606,56.87203791469194,59.16271721958926,60.209003215434095,59.00570497147515,59.053833605220234,62.214983713355046,63.6078431372549,65.00754147812972,67.75538568450312,66.05705925384052,67.13881019830029,66.13138686131387,81.30841121495325,81.17048346055978
sh.600690,10.386473429951678,22.84382284382285,36.60714285714286,42.130750605326845,35.39094650205759,34.677419354838705,32.55813953488369,41.016949152542374,41.72413793103449,51.96078431372548,53.13001605136434,59.00178253119432,60.401459854014625,54.80132450331128,56.48464163822528,58.401305057096266,51.49911816578483,53.781512605042046,66.83250414593701,73.27327327327329,76.98056801195816,73.58490566037736,78.57142857142856,78.4965034965035,82.3021582733813,83.72739916550763,89.26991150442475,97.41379310344826,80.57040998217468,80.75904677846425,77.87234042553193,78.51239669421489,72.49163879598663,66.27118644067798,62.65560165975104,64.42687747035573,63.884430176565026,64.65043205027496,57.393483709273184,54.79566305254379,43.58727097396337,36.82572614107884,46.04409857328145,35.35762483130904
sh.600809,53.83016627078387,52.41399248337668,40.295939435650396,34.280879864636205,17.642069550466488,0.8718980549966204,4.282800815771552,30.689102564102598,25.866726699684847,31.63972286374134,30.363475177304977,32.3609226594301,29.211618257261435,27.92542641808808,28.54825628548258,30.212945393211072,27.404857525339466,26.45375669189589,25.287356321839084,37.96367851622874,38.071359691417555,23.31024599952231,47.224157955865294,43.72586872586871,61.92011463370947,70.99986359296139,80.84269662921345,86.6053908912527,70.08775595486836,70.42881930099973,68.04502275085814,70.92901458383692,67.17796092796092,64.59375,61.24455787419306,63.07131106501681,60.69280548153786,61.80675099169225,57.53869196205692,47.12070874861572,36.83166133833096,35.08553302367734,46.6978287092883,41.36472578598618
sh.600887,27.160493827160494,24.175824175824175,29.602888086642608,26.36655948553056,26.36655948553056,16.770186335403693,31.86813186813187,26.881720430107507,22.471910112359552,32.9140461215933,29.41176470588239,34.62321792260691,33.66336633663367,34.9075975359343,35.12396694214874,41.596638655462186,36.619718309859145,37.06720977596743,37.06720977596743,47.97687861271675,40.38876889848811,41.74107142857144,66.5979381443299,64.47368421052633,75.72964669738863,80.82524271844662,86.03174603174602,86.76627534685167,69.60616438356166,71.57726180944758,72.15496368038743,73.90586292320398,70.08613938919343,66.50602409638554,63.594470046082954,66.3287472845764,61.70886075949368,62.06896551724138,56.6696508504924,44.36325678496867,35.55018137847641,39.302325581395344,49.92614475627769,39.756944444444436
sh.600900,43.64261168384878,50.0,50.15290519877679,56.16438356164382,50.94339622641511,50.757575757575744,46.85314685314686,53.968253968253954,58.12274368231046,42.85714285714284,38.67595818815328,40.80882352941177,38.02281368821294,44.64285714285719,39.655172413793075,17.553191489361723,20.630372492836656,30.208333333333343,30.729166666666657,30.548302872062635,32.957746478873204,33.5195530726257,37.53280839895014,47.337278106508876,49.71751412429379,48.219178082191746,60.12793176972281,48.76660341555974,44.77351916376308,63.74501992031871,63.52705410821645,61.19402985074627,55.44747081712061,53.58490566037737,51.35623869801087,52.0499108734403,42.75362318840579,42.230347349177315,39.88657844990548,40.49904030710174,22.77657266811275,27.777777777777757,37.195121951219505,22.26415094339623
sh.600941,48.12138728323701,46.096096096096076,50.53410024650778,56.65529010238909,64.58170445660673,64.66458658346335,68.06239737274221,70.6734867860187,58.29562594268477,51.018600531443774,38.8888888888889,35.13011152416357,36.3138686131387,30.20242914979758,40.34431137724552,29.30452397029036,28.190104166666657,32.16482164821649,26.95364238410592,25.47288776796971,34.41396508728178,36.84913217623498,54.0237055520898,52.21459762944482,56.45645645645647,58.13234384662959,68.2755388940956,74.52830188679246,60.681818181818194,71.63284132841329,72.7400468384075,73.77196935556559,63.92125351546808,64.54361054766736,58.61088545897644,61.756704236300045,54.51047456177854,50.95923261390885,48.7926727726894,45.94276754214032,30.946542422756238,30.67454455933037,36.90758293838861,27.51358695652175
sh.601012,29.241877256317693,27.364864864864842,29.122807017543835,21.70542635658913,30.76923076923076,30.65134099616857,45.353159851301115,47.87234042553193,37.797619047619044,45.558739255014316,44.11764705882352,50.636942675159226,50.79872204472842,50.15772870662461,48.62385321100918,57.59493670886074,58.25545171339563,52.19941348973607,45.97014925373135,52.486187845303874,39.784946236559136,34.7457627118644,55.2910052910053,53.18559556786705,60.421545667447326,69.71326164874554,78.99280575539571,85.32544378698226,70.68627450980392,67.30954676952749,62.53393665158371,65.95932802829356,64.42141623488774,61.25970664365832,62.3353819139596,65.29605263157895,65.85760517799352,67.73700305810397,68.64784546805348,60.122699386503065,60.902255639097746,53.34448160535116,58.69365225390983,60.973282442748086
sh.601088,53.60000000000006,58.43621399176954,69.80306345733041,75.46296296296296,78.54251012145747,74.13793103448266,64.86013986013984,61.022927689594326,66.7224080267558,57.68667642752558,45.78696343402226,36.86502177068216,34.370771312584594,33.6423841059603,35.27131782945739,30.85234093637459,34.91525423728814,36.14190687361421,28.535980148883382,28.7141073657928,35.66878980891721,41.21212121212125,50.51020408163265,58.421052631578945,65.45820745216515,65.59031281533807,75.2268602540835,72.97535211267605,60.849772382397575,70.65868263473055,67.19503790489318,66.80613668061366,62.05266711681297,61.8855218855219,58.36131631967765,59.4240837696335,50.50505050505051,48.72944693572495,43.44773790951637,47.85831960461284,37.53501400560222,43.10699588477367,54.064516129032235,27.94376098418273
sh.601166,53.714285714285694,58.92857142857147,73.03921568627459,81.28078817733993,74.39613526570044,68.59903381642513,56.34920634920637,54.40613026819925,53.48837209302325,51.49253731343281,42.971887550200776,41.322314049586836,37.71929824561409,33.204633204633254,36.64122137404584,32.042253521126796,24.902723735408614,19.43319838056685,23.96694214876038,25.00000000000003,38.999999999999986,51.17370892018773,62.408759124087574,70.52980132450332,79.46666666666667,76.8421052631579,81.0344827586207,90.72580645161293,70.28753993610222,76.54867256637166,71.36690647482014,74.43708609271523,71.13402061855672,73.41317365269461,69.43793911007026,68.40193704600486,62.79650436953808,60.02604166666666,55.18248175182483,56.14814814814816,48.88888888888889,40.53537284894836,55.20833333333336,40.42553191489364
