code,sh.600028,sh.600030,sh.600031,sh.600036,sh.600048,sh.600050,sh.600089,sh.600104,sh.600150,sh.600276,sh.600309,sh.600406,sh.600436,sh.600438,sh.600519,sh.600690,sh.600809,sh.600887,sh.600900,sh.600941,sh.601012,sh.601088,sh.601166,sh.601225,sh.601288,sh.601318,sh.601328,sh.601390,sh.601398,sh.601601,sh.601628,sh.601633,sh.601658,sh.601668,sh.601669,sh.601728,sh.601857,sh.601888,sh.601899,sh.601919,sh.601985,sh.601988,sh.603259,sh.603288,sh.603501,sh.603986,sh.688012,sh.688041,sh.688111,sh.688981
sh.600309,3983.5899999999997,3096.3199999999993,3408.99,2378.3999999999987,3851.719999999999,4088.22,3613.2599999999993,3610.6800000000003,2156.1599999999994,1711.4100000000003,0.0,2905.56,8203.470000000001,3197.1500000000005,79952.61000000002,2783.250000000001,6181.929999999999,2954.0700000000006,2683.62,1677.7400000000007,3500.6699999999996,2036.8499999999997,3355.0299999999997,2964.639999999999,4093.1500000000015,1607.06,3944.4300000000003,4020.4500000000007,4017.4799999999996,2503.0299999999993,2258.8900000000003,2939.0099999999998,4075.55,4041.5599999999995,4065.320000000002,4007.2200000000007,3871.92,574.8300000000002,3427.0299999999997,3596.7900000000004,3750.9300000000017,4086.1,1816.9699999999998,2123.5200000000004,1195.4399999999998,242.21000000000006,4322.7699999999995,846.9800000000002,7953.410000000002,1204.69
sh.600406,1078.03,199.55000000000007,503.43000000000006,527.1600000000001,946.16,1182.6600000000003,707.7000000000002,705.1200000000002,749.3999999999999,1194.1499999999996,2905.56,0.0,11109.029999999995,245.2,82858.16999999998,121.68999999999996,9087.490000000003,44.300000000000026,217.22000000000008,4583.299999999999,595.11,868.7099999999999,449.46999999999986,44.690000000000026,1187.59,1298.4999999999995,1038.87,1114.89,1111.92,379.3899999999999,646.67,56.22999999999999,1169.9900000000002,1136.0000000000005,1159.7600000000004,1101.66,966.36,2242.1100000000006,521.4700000000001,691.23,845.3700000000002,1180.5399999999997,1088.5900000000001,782.0399999999996,4123.27,3043.2900000000004,7228.329999999999,3815.76,10858.969999999996,1899.3499999999995
sh.600436,12187.059999999996,11299.789999999999,11612.460000000003,10581.869999999997,12055.19,12291.69,11816.730000000001,11814.150000000001,10359.630000000001,9914.879999999997,8203.470000000001,11109.029999999995,0.0,11400.619999999994,71749.14,10986.720000000005,1889.6300000000003,11157.54,10887.090000000002,6525.7300000000005,11704.14,10240.32,11558.5,11168.109999999999,12296.619999999997,9810.530000000004,12147.900000000005,12223.919999999998,12220.95,10706.500000000002,10462.359999999997,11142.479999999996,12279.02,12245.030000000002,12268.79,12210.689999999999,12075.39,8866.919999999998,11630.499999999998,11800.259999999997,11954.399999999998,12289.57,10020.439999999999,10326.989999999998,6985.760000000001,8065.739999999998,3862.7,7293.27,917.4499999999998,9209.680000000002
sh.600438,786.44,41.12000000000002,201.60000000000005,818.75,654.5700000000002,891.0699999999999,416.11,413.53,1040.9900000000002,1485.7399999999998,3197.1500000000005,245.2,11400.619999999994,0.0,83149.76,292.36,9379.079999999998,200.92000000000016,521.8099999999998,4874.890000000001,264.6700000000001,1160.3,152.56,217.71,895.9999999999999,1590.09,747.2800000000001,823.3000000000003,820.3300000000002,667.1200000000002,938.26,185.6099999999999,878.4000000000001,844.4099999999999,868.1700000000002,810.0699999999997,674.77,2533.7000000000007,223.55999999999997,399.64000000000004,553.7800000000001,888.9500000000002,1380.1800000000005,1073.63,4414.86,3334.88,7519.920000000001,4107.35,11150.560000000001,2190.9399999999996
sh.600519,83936.20000000001,83048.92999999998,83361.59999999999,82331.01,83804.32999999997,84040.82999999999,83565.86999999998,83563.29000000004,82108.77,81664.02000000002,79952.61000000002,82858.16999999998,71749.14,83149.76,0.0,82735.85999999997,73770.68,82906.68000000001,82636.22999999998,78274.87,83453.28000000003,81989.45999999999,83307.64,82917.24999999999,84045.76000000001,81559.67,83897.04000000001,83973.06,83970.08999999998,82455.64000000001,82211.5,82891.62000000001,84028.16,83994.17000000001,84017.93,83959.83000000002,83824.53000000003,80616.05999999998,83379.63999999998,83549.40000000001,83703.54000000002,84038.70999999998,81769.57999999997,82076.13,78734.90000000001,79814.88000000002,75629.84,79042.40999999999,71999.20000000001,80958.82000000002
sh.600690,1200.3400000000001,272.59000000000003,625.7399999999999,391.1099999999999,1068.4699999999998,1304.9700000000005,830.0099999999998,827.43,627.0899999999999,1071.84,2783.250000000001,121.68999999999996,10986.720000000005,292.36,82735.85999999997,0.0,8965.179999999998,139.95000000000002,203.68000000000012,4460.99,717.4199999999997,746.4000000000002,571.7799999999999,158.6,1309.9,1176.19,1161.1799999999998,1237.2,1234.2300000000002,214.17000000000002,433.5200000000002,109.77999999999994,1292.3000000000004,1258.3100000000002,1282.07,1223.9699999999996,1088.6699999999998,2119.8,643.78,813.5400000000002,967.68,1302.85,966.2800000000001,659.73,4000.9599999999996,2920.9800000000014,7106.020000000002,3693.4500000000007,10736.66,1777.0400000000002
sh.600809,10165.519999999999,9278.25,9590.919999999996,8560.329999999998,10033.65,10270.15,9795.189999999997,9792.610000000002,8338.090000000004,7893.339999999999,6181.929999999999,9087.490000000003,1889.6300000000003,9379.079999999998,73770.68,8965.179999999998,0.0,9136.0,8865.55,4504.19,9682.600000000002,8218.779999999999,9536.960000000001,9146.57,10275.079999999994,7788.990000000001,10126.359999999997,10202.379999999997,10199.41,8684.959999999997,8440.819999999998,9120.939999999999,10257.479999999998,10223.49,10247.25,10189.150000000003,10053.849999999999,6845.379999999999,9608.960000000003,9778.719999999998,9932.859999999999,10268.03,7998.9,8305.450000000003,4964.22,6044.200000000002,1420.42,5271.729999999999,1523.7599999999998,7188.139999999999
sh.600887,1029.52,160.02000000000004,454.92,575.6700000000001,897.6500000000003,1134.1500000000003,659.1900000000002,656.6100000000002,797.9099999999999,1242.6600000000003,2954.0700000000006,44.300000000000026,11157.54,200.92000000000016,82906.68000000001,139.95000000000002,9136.0,0.0,258.44,4631.8099999999995,546.6,917.2200000000003,400.96000000000026,47.27999999999999,1139.08,1347.01,990.36,1066.38,1063.41,405.49999999999994,695.18,35.42000000000002,1121.48,1087.4900000000005,1111.2499999999998,1053.1500000000003,917.8500000000003,2290.62,472.96000000000004,642.7200000000003,796.8600000000001,1132.03,1137.0999999999997,830.55,4171.78,3091.8000000000006,7276.84,3864.2700000000004,10907.479999999998,1947.8600000000001
sh.600900,1299.9699999999998,409.98,725.37,303.30000000000007,1168.1000000000001,1404.6000000000001,929.6399999999998,927.0599999999998,527.46,972.2099999999999,2683.62,217.22000000000008,10887.090000000002,521.8099999999998,82636.22999999998,203.68000000000012,8865.55,258.44,0.0,4361.360000000001,817.0500000000004,646.77,671.4100000000002,280.85999999999996,1409.5300000000004,1076.5600000000002,1260.8100000000002,1336.8299999999997,1333.8600000000001,209.77,422.58000000000004,259.75,1391.9300000000003,1357.9400000000007,1381.7000000000003,1323.6000000000004,1188.2999999999997,2020.17,743.4100000000001,913.1700000000001,1067.31,1402.4800000000002,866.6499999999997,560.1000000000001,3901.33,2821.3500000000004,7006.389999999999,3593.82,10637.029999999999,1677.41
sh.600941,5661.329999999999,4774.0599999999995,5086.729999999998,4056.1400000000003,5529.46,5765.96,5291.000000000002,5288.419999999999,3833.9000000000005,3389.149999999999,1677.7400000000007,4583.299999999999,6525.7300000000005,4874.890000000001,78274.87,4460.99,4504.19,4631.8099999999995,4361.360000000001,0.0,5178.409999999999,3714.5899999999992,5032.7699999999995,4642.38,5770.889999999999,3284.800000000001,5622.170000000001,5698.189999999998,5695.220000000003,4180.7699999999995,3936.6299999999983,4616.75,5753.29,5719.3,5743.059999999999,5684.96,5549.660000000001,2341.19,5104.769999999999,5274.530000000001,5428.670000000002,5763.840000000001,3494.71,3801.2600000000007,580.9500000000002,1540.0099999999998,2645.0299999999993,1387.0700000000006,6275.67,2683.9500000000007
