code,2024-08-01,2024-08-02,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-18,2024-09-19,2024-09-20,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-30,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-14,2024-10-15,2024-10-16,2024-10-17,2024-10-18,2024-10-21,2024-10-22,2024-10-23,2024-10-24,2024-10-25,2024-10-28,2024-10-29,2024-10-30
sh.601288,0.0,320365703.0,-91391693.0,-448150782.0,-705351314.0,-512145684.0,-273527068.0,-11671468.0,281398593.0,281398593.0,561146744.0,934375347.0,1350852731.0,1766679723.0,1375597437.0,1777933440.0,2123304599.0,2123304599.0,2505007223.0,2147914265.0,1501057286.0,612248892.0,1295532413.0,595029388.0,1088004218.0,742356093.0,1024690790.0,1377078374.0,1768365825.0,1310058614.0,1676491837.0,1343881258.0,1626993042.0,1626993042.0,2059591908.0,2373659900.0,2969807476.0,3580654958.0,4127724445.0,3301842405.0,5069532642.0,3415402831.0,2375615707.0,3455543970.0,4182129434.0,5139064227.0,4541814549.0,5100766746.0,4677675909.0,3978216077.0,3259531664.0,3755251428.0,3376202651.0,3704486734.0,3322071683.0,2775692559.0,3204540937.0,2817766378.0
sh.601318,0.0,-33137257.0,9913657.0,-53520666.0,-83498761.0,-59855520.0,-86034016.0,-70814112.0,-54163513.0,-74813941.0,-21397236.0,5560121.0,34351324.0,4975038.0,28592450.0,-1905206.0,97518237.0,97518237.0,63553560.0,98393034.0,50698486.0,160699087.0,109381963.0,72559988.0,31565082.0,78216190.0,39190415.0,-982039.0,-30347628.0,-57755052.0,-16671199.0,17768449.0,61032273.0,107682305.0,160974678.0,131450630.0,252349828.0,390648320.0,554413579.0,693901319.0,956026724.0,1352130977.0,1066621420.0,1289294389.0,1158082008.0,1275855775.0,1173065747.0,1258567377.0,1180209900.0,1329676136.0,1242144878.0,1326745997.0,1445938648.0,1394665643.0,1340721102.0,1282840115.0,1344850143.0,1254102217.0
sh.601328,0.0,97924349.0,-19528443.0,-134014817.0,-33086234.0,-90137865.0,-27709038.0,29083070.0,124493503.0,211544040.0,325396444.0,433098340.0,554463882.0,665296582.0,665296582.0,783015256.0,688686711.0,617152343.0,727338001.0,622228962.0,441235536.0,81935408.0,-141616693.0,-356969573.0,-500326263.0,-647952524.0,-647952524.0,-780242322.0,-651429757.0,-815039993.0,-672194758.0,-796572982.0,-699685036.0,-699685036.0,-559585839.0,-444039174.0,-187744399.0,44653517.0,252052019.0,39211631.0,531831004.0,-32023436.0,-364261566.0,-43360561.0,-259860285.0,-8367610.0,-190273240.0,7853693.0,-121402943.0,-306684209.0,-482719867.0,-382110105.0,-494747605.0,-419761587.0,-507311874.0,-585857111.0,-702561480.0,-817770902.0
sh.601390,0.0,-54871404.0,-132393877.0,-213391152.0,-280893935.0,-338661267.0,-338661267.0,-395422173.0,-352916800.0,-391340761.0,-322625404.0,-269452834.0,-174351710.0,-237013190.0,-299724332.0,-231758749.0,-272999852.0,-230379929.0,-271789881.0,-342796989.0,-441271208.0,-359174036.0,-498348212.0,-597108608.0,-690428859.0,-618614796.0,-672492563.0,-749926148.0,-820168171.0,-876572600.0,-934733481.0,-996916931.0,-942501938.0,-866309959.0,-794348622.0,-794348622.0,-676224604.0,-465600223.0,-285490633.0,-123561171.0,213262426.0,637671225.0,349037853.0,783549267.0,423435178.0,705842160.0,524168458.0,673870811.0,534007012.0,714178319.0,893160457.0,801813349.0,963620844.0,872270938.0,792370391.0,688210085.0,605820881.0,519777148.0
sh.601398,0.0,0.0,-319544631.0,-595014668.0,-367999449.0,-180823506.0,4255299.0,230103135.0,470521829.0,658566644.0,865306718.0,1135500760.0,1474364274.0,1873961694.0,1542373374.0,1892603529.0,2158260949.0,1890949860.0,2214199504.0,1899476991.0,1342162245.0,461379898.0,-106860275.0,-755500404.0,-1147831839.0,-1531362614.0,-1240665802.0,-1522792506.0,-1154449274.0,-1514212658.0,-1514212658.0,-1280163962.0,-1033324558.0,-1314321364.0,-1031489043.0,-804451356.0,-199246457.0,430574372.0,952248745.0,265039474.0,1881213657.0,192987485.0,-816084296.0,275443851.0,275443851.0,1065364969.0,572595812.0,987210392.0,659129075.0,1173581256.0,605116349.0,173844870.0,173844870.0,462634347.0,178105348.0,-151431023.0,-445291727.0,-750703731.0
sh.601601,0.0,-20698500.0,6617106.0,-40767726.0,-67700811.0,-83013459.0,-67529831.0,-57881473.0,-45603003.0,-33297548.0,-58396648.0,-36710137.0,-13571898.0,-28838117.0,-48890201.0,-63903752.0,-34247544.0,-14918942.0,-30859013.0,-47636121.0,-74423830.0,-154942.0,41480522.0,16827101.0,-7767861.0,25009477.0,64863486.0,22447290.0,-1120765.0,-19762605.0,-44291323.0,-27023000.0,1180272.0,28871973.0,3044935.0,23002648.0,90547216.0,24755232.0,94640997.0,128548443.0,243486832.0,379568646.0,269296156.0,373459656.0,323931357.0,375324006.0,331116539.0,271370448.0,305725626.0,362433162.0,403055249.0,443919930.0,488872361.0,460110261.0,435288861.0,408714293.0,437654640.0,394644371.0
sh.601628,0.0,-6244311.0,8549149.0,-12754730.0,-29069647.0,-37676107.0,-43922718.0,-36349470.0,-30007270.0,-34665557.0,-21960299.0,-11818595.0,-2221770.0,-10002927.0,-14968282.0,-7464431.0,2960661.0,13501172.0,24386017.0,13923320.0,1734820.0,18961004.0,37945139.0,48398235.0,38187263.0,46044078.0,40021153.0,32259150.0,39291434.0,30813716.0,38079115.0,46336674.0,59362516.0,48068494.0,48068494.0,57557006.0,74652315.0,96007571.0,120984131.0,131442056.0,161131865.0,197883179.0,146621206.0,186654973.0,168848156.0,190774124.0,177005480.0,188886191.0,172743432.0,197794081.0,219363913.0,206098978.0,227125098.0,214495825.0,201703174.0,189458198.0,201463314.0,187518399.0
sh.601633,0.0,-16759300.0,-32913543.0,-47687985.0,-35697566.0,-47893599.0,-59815501.0,-69001358.0,-57308726.0,-65616901.0,-52348167.0,-38571250.0,-18168110.0,-30435371.0,-14528280.0,-24315580.0,-15754017.0,-24081222.0,-32642315.0,-42889486.0,-31931331.0,-3155077.0,-27458101.0,-10461936.0,5733685.0,21684228.0,21684228.0,9717258.0,18282024.0,33848535.0,22472458.0,15100541.0,28569101.0,42708628.0,54988361.0,64920605.0,83867750.0,107522526.0,136141982.0,155841777.0,208330421.0,264190290.0,217618034.0,251092477.0,230777357.0,253187997.0,230984885.0,205733760.0,184585520.0,215992973.0,182263435.0,218874622.0,261615963.0,227125184.0,255088476.0,210787921.0,178195087.0,151850629.0
sh.601658,0.0,105311801.0,-33408320.0,-145491153.0,-145491153.0,-209036653.0,-126929653.0,-197970336.0,-55370354.0,-150648285.0,-22027648.0,140659171.0,302738009.0,441583032.0,441583032.0,586344378.0,586344378.0,680505809.0,805613531.0,709444031.0,535618201.0,228162163.0,440515403.0,218070161.0,47392345.0,47392345.0,223534396.0,64506596.0,199126779.0,28494489.0,168287872.0,303151179.0,410578519.0,293304564.0,440330171.0,523793660.0,739202542.0,955042825.0,1227675242.0,1096811156.0,1630923382.0,2165634558.0,1823583129.0,2173579586.0,2173579586.0,2519929267.0,2310198685.0,2552325113.0,2358952918.0,2358952918.0,2124344254.0,2124344254.0,2246039399.0,2149475440.0,2019646121.0,1913427803.0,1794725945.0,1648951066.0
sh.601668,0.0,-195726717.0,-398675185.0,-582210363.0,-687431936.0,-589394076.0,-434094743.0,-540015693.0,-433167885.0,-528853461.0,-323581127.0,-170772937.0,-33471681.0,-154019334.0,-261575434.0,-119547437.0,-119547437.0,-286436062.0,-422034835.0,-589794348.0,-901431304.0,-631155529.0,-816866471.0,-1111397382.0,-1333454042.0,-1166971562.0,-1284334512.0,-1528686438.0,-1372217781.0,-1541238259.0,-1679591797.0,-1798522240.0,-1663128640.0,-1486613039.0,-1317780286.0,-1198645517.0,-867529075.0,-384726035.0,78207047.0,435970590.0,1170280960.0,1968699147.0,1345759604.0,2195469656.0,1580274922.0,2282210948.0,1840631557.0,2482738487.0,1975956598.0,2393802982.0,2979470309.0,2677417773.0,3066281323.0,2766677734.0,2496478674.0,1934738980.0,1656661201.0,1438343703.0
